Icon Name,Variant,URL
Bucket,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bucket.svg
Bucket,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bucket.svg
Buddhist-temple,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Buddhist-temple.svg
Buddhist-temple,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Buddhist-temple.svg
Buddhist-temple,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Buddhist-temple.svg
Building-closed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Building-closed.svg
Building-closed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Building-closed.svg
Building-closed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Building-closed.svg
Building-facility-affected,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Building-facility-affected.svg
Building-facility-affected,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Building-facility-affected.svg
Building-facility-affected,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Building-facility-affected.svg
Building-facility-destroyed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Building-facility-destroyed.svg
Building-facility-destroyed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Building-facility-destroyed.svg
Building-facility-destroyed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Building-facility-destroyed.svg
Building-facility-not-affected,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Building-facility-not-affected.svg
Building-facility-not-affected,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Building-facility-not-affected.svg
Building-facility-not-affected,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Building-facility-not-affected.svg
Building,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Building.svg
Building,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Building.svg
Building,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Building.svg
Bus,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bus.svg
Bus,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bus.svg
Bus,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bus.svg
Calendar,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Calendar.svg
Calendar,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Calendar.svg
Calendar,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Calendar.svg
Camp-Coordination-and-Camp-Management,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Camp-Coordination-and-Camp-Management.svg
Camp-Coordination-and-Camp-Management,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Camp-Coordination-and-Camp-Management.svg
Camp-Coordination-and-Camp-Management,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Camp-Coordination-and-Camp-Management.svg
Car,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Car.svg
Car,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Car.svg
Car,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Car.svg
Carjacking,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Carjacking.svg
Carjacking,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Carjacking.svg
Carjacking,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Carjacking.svg
Case-management,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Case-management.svg
Case-management,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Case-management.svg
Case-management,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Case-management.svg
Cash-transfer,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Cash-transfer.svg
Cash-transfer,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Cash-transfer.svg
Cash-transfer,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Cash-transfer.svg
Cell-tower,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Cell-tower.svg
Cell-tower,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Cell-tower.svg
Cell-tower,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Cell-tower.svg
Chart,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Chart.svg
Chart,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Chart.svg
Chart,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Chart.svg
Chat,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Chat.svg
Chat,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Chat.svg
Chat,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Chat.svg
Checked-mail,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Checked-mail.svg
Checked-mail,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Checked-mail.svg
Checked-mail,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Checked-mail.svg
Checkpoint,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Checkpoint.svg
Checkpoint,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Checkpoint.svg
Checkpoint,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Checkpoint.svg
Child-care-child-friendly,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Child-care-child-friendly.svg
